course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Bachelor Of Guidance & Counseling(Hons),Bachelor,3 Years,9,2308,6500,47500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1038
Bachelor Of Education(Early Childhood Education)(Hons),Bachelor,3 Years,9,2308,6500,51500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1039
Masters Of Education(Education Leadership & Management),Masters,1.4 Years,4,2308,6500,22000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1040
Masters Of Education(Guidence& Counseling),Masters,1.8 Years,5,2308,6500,26000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1041
Masters Of Education (Teaching as Second language),Masters,1.4 Years,4,2308,6500,22500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1042
Masters Of Business Administration,Masters,1.4 Years,4,2308,6500,27000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1043
Master Of Computer Science,Masters,1 Year,3,2308,6500,24000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1044
Master Of Information Technology,Masters,1 Year,3,2308,6500,22000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1045
Doctor Of Philosophy(PhD)In Education,PhD,3 Years,9,2308,6500,22500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1046
Doctor Of Philosophy(PhD)In Business Adminstration,PhD,3Years,9,2308,6500,33500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1047
Doctor Of Philosophy(PhD)In Management,PhD,3 Years,9,2308,6500,33500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1048
Doctorate Of Business Administration,PhD,3 Years,9,2308,6500,45500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1049
Doctor Of Philosophy(IT)Research,PhD,3 Years,9,2308,6500,25500,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1050
Masters In Hospitality Management,Masters,1.4 Years,4,2308,6500,30000,January/June/October,,,,2018- FEES Full Time Fees (International),2018- FEES Full Time Fees (International).pdf,1051
