course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,id
Foundation in Business Information Technology,Foundation,1 years,3,2720,5250,21090,Jan/May/Aug,,Nilai Campus,25%,,,719
Foundation in Arts,Foundation,1 years,3,2720,5250,21090,Jan/May/Aug,,Nilai Campus,25%,,,720
Foundation in Science,Foundation,1 years,3,2720,5250,21090,Jan/May/Aug,,Nilai Campus,25%,,,721
Diploma in Business,Diploma,2 years,6,2720,5250,38488,Jan/May/Aug,,Nilai Campus,25%,,,722
Diploma in Accounting,Diploma,2 years,6,2720,5250,34682,Jan/May/Aug,,Nilai Campus,25%,,,723
Bachelor of Business (Hons) - Business Administration,Bachelor,3 years,9,2720,5250,78050,Jan/May/Aug,,Nilai Campus,25%,,,724
Bachelor of Business (Hons) - International Business,Bachelor,3 years,9,2720,5250,78050,Jan/May/Aug,,Nilai Campus,25%,,,725
Bachelor of Business (Hons) - Accounting,Bachelor,3 years,9,2720,5250,78050,Jan/May/Aug,,Nilai Campus,25%,,,726
Bachelor of Business (Hons) - Marketing,Bachelor,3 years,9,2720,5250,78050,Jan/May/Aug,,Nilai Campus,25%,,,727
Bachelor of Business (Hons) - Human Resource,Bachelor,3 years,9,2720,5250,78050,Jan/May/Aug,,Nilai Campus,25%,,,728
Bachelor of Business (Hons) - Finance,Bachelor,3 years,9,2720,5250,78050,Jan/May/Aug,,Nilai Campus,25%,,,729
Bachelor of Business (Hons) - Psychology,Bachelor,3 years,9,2720,5250,78050,Jan/May/Aug,,Nilai Campus,25%,,,730
Bachelor of Financial Planning (Hons),Bachelor,3 years,9,2720,5250,70345,Jan/May/Aug,,Nilai Campus,25%,,,731
Bachelor of Accountancy (Hons),Bachelor,4 years,12,2720,5250,82425,Jan/May/Aug,,Nilai Campus,25%,,,732
Bachelor of Accounting & Finance (Hons),Bachelor,3 years,9,2720,5250,77002,Jan/May/Aug,,Nilai Campus,25%,,,733
Australian Degree Transfer Programme (Commerce),Bachelor,2 years,6,2720,5250,36350,Jan/May/Aug,,Nilai Campus,25%,,,734
Diploma in Mass Communication,Diploma,2 years,6,2720,5250,33580,Jan/May/Aug,,Nilai Campus,25%,,,735
Bachelor of Mass Communication (Hons),Bachelor,3 years,9,2720,5250,66545,Jan/May/Aug,,Nilai Campus,25%,,,736
UK Degree Transfer Program (Law),Bachelor,2 years,6,2720,5250,52350,Jan/May/Aug,,Nilai Campus,25%,,,737
Diploma in Mechanical Engineering,Diploma,2.5 years,7,2720,5250,46302,Jan/May/Aug,,Nilai Campus,25%,,,738
Diploma in Civil Engineering,Diploma,2.5 years,7,2720,5250,43614,Jan/May/Aug,,Nilai Campus,25%,,,739
Diploma in Quantity Surveying,Diploma,2.5 years,7,2720,5250,42622,Jan/May/Aug,,Nilai Campus,25%,,,740
