course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
 Green Building,Diploma,2.5 Year,2,2500,1900,12000, January/April/June/September,,,30%,,,66
 Green Tecnology management,Diploma,2.5 Year,2,2500,1900,12000, January/April/June/September,,,30%,,,66
 Hospitality & Tourism management,Diploma,2.5 Year,2,2500,1900,12000, January/April/June/September,,,30%,,,66
 Mobile Communication,Diploma,2.5 Year,2,2500,1900,12000, January/April/June/September,,,30%,,,66
 Business Management,Diploma,2.5 Year,2,2500,1900,11000, January/April/June/September,,,30%,,,66
,, ,,,,,,,,,,,
